Date,Close,action
2019-01-09,36.44298172,-0.28390095942281457
2019-01-10,36.5594635,-0.47853565342031523
2019-01-11,36.20052719,-0.407463860379214
2019-01-12,35.65615845,-0.3403534928323331
2019-01-13,36.38594055,-0.24174317818599128
2019-01-14,36.83045197,-0.16377828848472326
2019-01-15,37.04913712,-0.0025154753449233513
2019-01-16,37.27735519,-0.007249070580431371
2019-01-17,36.44060898,-0.02274900912355219
2019-01-18,36.58799362,-0.06438333027246759
2019-01-19,36.29797745,-0.11428314603824807
2019-01-20,37.50078201,-0.16517269022179748
2019-01-21,37.15373993,-0.10074527961038678
2019-01-22,36.76865005,-0.0394851908870618
2019-01-23,39.28121185,0.09696533628145786
2019-01-24,39.5640831,0.2689209148100451
2019-01-25,39.58310699,0.3940743812297766
2019-01-26,40.70745468,0.5359859667021758
2019-01-27,41.40394592,0.6882797752118286
2019-01-28,41.41820145,0.6621294409596282
2019-01-29,40.63378143,0.466094964624766
2019-01-30,40.68151855,0.41931931788740273
2019-01-31,40.44757843,0.25802729607368236
2019-02-01,40.79610825,0.058625606452002176
2019-02-02,40.6266098,-0.07834550656494581
2019-02-03,40.77462387,-0.03248099915410321
2019-02-04,40.68390656,-0.08648061808365937
2019-02-05,40.80565643,-0.05607027143433654
2019-02-06,41.06825256,-0.04023998738452992
2019-02-07,40.83669281,0.007858567725291445
2019-02-08,41.29266739,-0.010486173591184986
2019-02-09,41.59345627,0.033379083767601216
2019-02-10,41.61734009,0.05498578923930534
2019-02-11,41.74623871,0.03558690146587816
2019-02-12,41.33563232,0.0009389975181363502
2019-02-13,41.77011871,0.003190520887645709
2019-02-14,41.98019409,-0.02224945239673278
2019-02-15,41.90380096,-0.0477711097110383
2019-02-16,41.66269684,-0.011048464887306719
2019-02-17,41.18045425,0.005761835620577407
2019-02-18,41.27833557,0.005345636161437251
2019-02-19,42.70831299,0.021147931557273885
2019-02-20,43.18815613,0.06685330770021346
2019-02-21,43.37914276,-0.015180104487500835
2019-02-22,43.86135864,0.10679497947485213
2019-02-23,44.43193054,0.0015504882276543119
2019-02-24,44.88551712,0.061160982890195004
2019-02-25,44.52981186,0.06191720944337289
2019-02-26,44.91893387,0.2081023886420618
2019-02-27,46.57330322,0.20362053185809886
2019-02-28,45.60884476,0.280533043002841
2019-03-01,45.05738068,0.17892344623899564
2019-03-02,44.59186554,0.11593024265308938
2019-03-03,44.99293137,0.0444822284146358
2019-03-04,45.05262756,-0.002429634178978768
2019-03-05,45.34625626,0.06084337156264795
2019-03-06,45.65421295,0.09483573010749832
2019-03-07,46.31787109,0.17138846624927542
2019-03-08,46.63538742,0.24461334228968584
2019-03-09,46.71655273,0.2522176205818207
2019-03-10,47.02927399,0.3117146295165097
2019-03-11,47.76934433,0.37192938175790075
2019-03-12,47.62610245,0.24312998399878646
2019-03-13,47.89347458,0.22588185662170912
2019-03-14,47.49479294,0.18821360295676662
2019-03-15,47.47570801,0.13614303984824955
2019-03-16,47.56163406,0.04089914446518882
2019-03-17,47.56640625,0.09843942571781927
2019-03-18,48.4926796,0.07064975324746411
2019-03-19,48.66695404,-0.010744203715199374
2019-03-20,48.82690048,-0.08510548825101935
2019-03-21,49.531147,0.0019745867930852532
2019-03-22,49.45473862,0.07494172828896563
2019-03-23,49.0059433,0.028959056028605802
2019-03-24,48.7719841,0.07302468891742009
