Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2002-08-12,25.82840919494629,26.023585590514642,25.19408280709598,25.19408280709598,212976
2002-08-13,25.478710174560547,26.275683797185803,25.291666686959772,25.860932496634106,153576
2002-08-14,23.722131729125977,25.53564981567049,23.242319763070544,25.53564981567049,822776
2002-08-15,23.722131729125977,23.722131729125977,23.722131729125977,23.722131729125977,0
2002-08-16,23.66519546508789,24.722403509919996,23.258576986306313,23.600137501203733,811856
2002-08-19,23.079660415649414,23.860368274660786,22.86008795898494,23.860368274660786,205880
2002-08-20,23.722131729125977,25.194089175733254,23.087805180928708,23.242319763070544,3773624
2002-08-21,24.885047912597656,25.50310842247354,23.762782038671872,25.031429554656867,3011064
2002-08-22,25.95852279663086,27.048259744419553,25.57630046155923,25.70641886169864,6732480
2002-08-23,27.51992416381836,28.381955397169964,25.86905497154577,26.186216727474868,4841672
2002-08-26,27.422346115112305,28.137993512299797,27.202771184578847,27.959080422102033,2576912
2002-08-27,26.739221572875977,28.78857903960213,26.511516290707046,27.650047665154588,3694224
2002-08-28,26.76363754272461,27.06453382657364,26.210634741229303,26.657915214504907,1674960
2002-08-29,26.76363754272461,27.243447008605106,26.511533506881385,26.600990097897117,1236544
2002-08-30,28.658464431762695,29.357848578468843,26.83681449001307,26.8449473544007,3762384
2002-09-02,28.95121955871582,29.910837641256283,28.658453920750656,29.11386685960748,2389568
2002-09-03,27.593128204345703,29.23586780532105,27.324761008589356,29.113882265104134,986784
2002-09-04,28.194936752319336,28.463304054973538,26.926286132365597,27.243448166903242,1449856
2002-09-05,28.02414321899414,29.187070957943867,27.650053759998467,29.05695256153642,1061360
2002-09-06,26.98320770263672,28.138005450855385,26.682311445567652,28.138005450855385,907472
2002-09-09,26.633506774902344,27.772038362226414,25.698284399600432,25.698284399600432,880848
2002-09-10,26.633506774902344,26.633506774902344,26.633506774902344,26.633506774902344,0
2002-09-11,27.308496475219727,27.78017540716606,26.779892444422778,26.779892444422778,635936
2002-09-12,27.446748733520508,28.12173445039429,27.25970521635376,27.64192511704285,781968
2002-09-13,26.666038513183594,27.471142579782864,26.43833316486535,26.487127877162738,338264
2002-09-16,26.145565032958984,27.064521691474404,25.942255818083723,26.91814004948499,288592
2002-09-17,26.910003662109375,27.080783876610486,26.5277838772562,26.61723793465056,462952
2002-09-18,26.08050537109375,26.836814608241667,25.860930440669243,26.755490927610634,315432
2002-09-19,25.860937118530273,26.7229688521751,25.53564231200788,25.860937118530273,490848
2002-09-20,25.43805503845215,25.812144594094633,24.828127224405478,24.93384953458848,501072
2002-09-23,25.007030487060547,25.68201600829957,24.901310700486317,25.61695805991568,248504
2002-09-24,24.161264419555664,24.917573606860994,23.892894802078384,24.917573606860994,267912
2002-09-25,24.348316192626953,24.559758316881126,23.421226474376702,23.600139613776953,379544
2002-09-26,24.730527877807617,25.120880490581794,24.559747679043397,24.85251337952472,178136
2002-09-27,25.03143310546875,25.372993627794592,24.649213216182705,24.649213216182705,206288
2002-09-30,24.120609283447266,25.031433210466265,23.600138113464656,24.64921331957695,202232
2002-10-01,23.91728973388672,24.559746173862614,23.502538557106938,24.234451522553172,240192
